tahun,nama_museum,jumlah_pengunjung
2010,Monumen Nasional,1253266
2010,Sejarah Jakarta dan Prasasti,724082
2010,Bahari,6327
2010,Wayang,164696
2010,Tekstil,43107
2010,Seni Rupa dan Keramik,76713
2010,Joang'45 dan M.H Thamrin,17504
2010,Taman Arkeologi Pulau Onrust,19443
2011,Monumen Nasional,1516153
2011,Sejarah Jakarta dan Prasasti,437040
2011,Bahari,24076
2011,Wayang,202489
2011,Tekstil,53485
2011,Seni Rupa dan Keramik,35966
2011,Joang'45 dan M.H Thamrin,18370
2011,Taman Arkeologi Pulau Onrust,15596
